,date,sentiment_score,content,source
13477,2019-03-04,0.776023,云财经讯，地产股午后持续走强，截至发稿，金地集团逼近涨停，大涨9.61%，泰禾集团涨超8%，招商蛇口、保利地产、万科A涨超6%。,yuncaijing
36117,2019-03-05,0.634147,"【3月5日资金流向】主力净流入行业板块前五：半导体、通信、计算机应用、传媒、军工
主力净流入概念板块前五：芯片、5G、智能穿戴、物联网、人工智能
主力净流入个股前十：中国软件、浪潮信息、郑州银行、三一重工、东方通信、华东科技、平安银行、乐视网、招商蛇口、保利地产",wallstreetcn
19062,2019-03-06,0.860917,【上证50成分股领跌 创业板指数翻绿】东方财富网6日讯，上证50成分股领跌，沪深两市午后快速跳水，创业指率先翻绿，三安光电、华夏幸福、青岛海尔、保利地产均跌逾2%，高位个股开始出现分歧，两市成交额超8800亿。,eastmoney
14219,2019-03-06,0.935105, 云财经讯，上证50成分股领跌，沪深两市午后快速跳水，创业指率先翻绿，三安光电、华夏幸福、青岛海尔、保利地产均跌逾2%，高位个股开始出现分歧，两市成交额超8800亿。,yuncaijing
29517,2019-03-07,0.862256,保利地产：2月公司实现签约面积189.12万平方米，同比增长20.81%；实现签约金额334.04亿元，同比增长54.31%。,sina
29672,2019-03-07,0.531255,【地产股跌幅进一步扩大 新城控股跌超6%】地产股午后跌幅进一步扩大，截至发稿，新城控股跌超6%，华夏幸福、阳光城、荣盛发展跌超5%，保利地产、金地集团跌超4%，万科A、招商蛇口等跌超3%。,sina
29744,2019-03-07,0.404412,地产股今天集体回调，截至发稿，华夏幸福跌近5%，阳光城、大名城跌超3%，保利地产、万科A等跌超2%。,sina
14655,2019-03-07,0.504849,云财经讯，地产股今天集体回调，截至发稿，华夏幸福跌近5%，阳光城、大名城跌超3%，保利地产、万科A等跌超2%。,yuncaijing
37751,2019-03-07,0.862256,保利地产：2月公司实现签约面积189.12万平方米，同比增长20.81%；实现签约金额334.04亿元，同比增长54.31%。,wallstreetcn
19495,2019-03-07,0.110528,【地产股今天集体回调】东方财富网7日讯，地产股今天集体回调，截至发稿，华夏幸福跌近5%，阳光城、大名城跌超3%，保利地产、万科A等跌超2%。,eastmoney
19440,2019-03-07,0.531255,【地产股跌幅进一步扩大 新城控股跌超6%】地产股午后跌幅进一步扩大，截至发稿，新城控股跌超6%，华夏幸福、阳光城、荣盛发展跌超5%，保利地产、金地集团跌超4%，万科A、招商蛇口等跌超3%。,eastmoney
14497,2019-03-07,0.856526,云财经讯，保利地产：2月公司实现签约面积189.12万平方米，同比增长20.81%；实现签约金额334.04亿元，同比增长54.31%,yuncaijing
42859,2019-03-15,0.540624,"【3月15日资金流向】主力净流入行业板块前五：房地产、建筑装饰、白色家电、化工新材料、保险
主力净流入概念板块前五：参股券商、一带一路、上海自贸区、超级品牌、迪士尼
主力净流入个股前十：格力电器、万华化学、电广传媒、大众公用、保利地产、海康威视、万科A、五粮液、华鑫股份、冀东水泥
",wallstreetcn
22688,2019-03-18,0.193241,【地产股午后全线爆发】东方财富网18日讯，地产股午后全线爆发，泰禾集团、金地集团双双封涨停，阳光城、华发股份、我爱我家、保利地产、荣盛发展均涨超5%，万科A涨逾4%。,eastmoney
34488,2019-03-18,0.469148,地产股午后全线爆发，泰禾集团、金地集团双双封涨停，阳光城、华发股份、我爱我家、保利地产、荣盛发展均涨超5%，万科A涨逾4%。,sina
44544,2019-03-19,0.812815,【保利地产：拟7.5亿元认购股权投资基金，布局不动产领域未上市企业】保利地产晚间公告，控股子公司信保基金拟通过其下属全资子公司凰朝投资发起设立信保基金三期，投资于不动产相关领域未上市企业，产品规模预计不超过50亿元；公司拟认购信保基金三期15%有限合伙份额，对应不超过7.5亿元。此外，全资子公司恒利置业在境外发行5亿美元的五年期固息债券，债券票面利率3.875%。,wallstreetcn
34854,2019-03-19,0.812815,【保利地产：拟7.5亿元认购股权投资基金，布局不动产领域未上市企业】保利地产晚间公告，控股子公司信保基金拟通过其下属全资子公司凰朝投资发起设立信保基金三期，投资于不动产相关领域未上市企业，产品规模预计不超过50亿元；公司拟认购信保基金三期15%有限合伙份额，对应不超过7.5亿元。此外，全资子公司恒利置业在境外发行5亿美元的五年期固息债券，债券票面利率3.875%。,sina
18024,2019-03-19,0.917473, 云财经讯，保利地产晚间公告，控股子公司信保基金拟通过其下属全资子公司凰朝投资发起设立信保基金三期，投资于不动产相关领域未上市企业，产品规模预计不超过50亿元；公司拟认购信保基金三期15%有限合伙份额，对应不超过7.5亿元。此外，全资子公司恒利置业在境外发行5亿美元的五年期固息债券，债券票面利率3.875%。,yuncaijing
41563,2019-04-01,0.265271,地产股早盘集体走强，万科A涨超7%，保利地产、金地集团等纷纷跟涨。,sina
27263,2019-04-01,0.112246,【基民早餐：内资“穿马甲”加杠杆回A股；基金“迷恋”金融和大消费】随着基金2018年年报的陆续披露完毕，其重仓股情况也逐渐浮出水面。分行业来看，金融和大消费领域仍然是基金持仓的重中之重，基金对中国平安、贵州茅台、招商银行、伊利股份、保利地产、格力电器、万科A、美的集团、海康威视等个股的持仓市值均超过100亿元。,eastmoney
44783,2019-04-09,0.957917,【保利地产：3月签约金额同比增长27%】3月，公司实现签约面积283.07万平方米，同比增长29.64%；实现签约金额426.64亿元，同比增长26.84%。1-3月，公司实现签约面积700.04万平方米，同比增长18.1%；实现签约金额1096.60亿元，同比增长26.14%。,sina
56779,2019-04-09,0.957917,"【保利地产：3月签约金额同比增长27%】3月，公司实现签约面积283.07万平方米，同比增长29.64%；实现
签约金额426.64亿元，同比增长26.84%。1-3月，公司实现签约面积700.04万平方米，同比增长18.1%；实现签约金额1096.60亿元，同比增长26.14%。",wallstreetcn
57611,2019-04-10,0.729286,保利地产：全资子公司保利物业在全国中小企业股份转让系统终止挂牌。,wallstreetcn
57759,2019-04-10,0.686838,"保利地产：全资子公司保利物业自4月11起终止在新三板挂牌。
",wallstreetcn
24496,2019-04-10,0.75962,云财经讯，保利地产：全资子公司保利物业在全国中小企业股份转让系统终止挂牌,yuncaijing
45620,2019-04-10,0.686838,保利地产：全资子公司保利物业自4月11起终止在新三板挂牌。,sina
60561,2019-04-15,0.752744,保利地产：2018年度实现净利润189亿元，同比增长21%；拟10派5元。,wallstreetcn
47856,2019-04-15,0.549198,  保利地产将让旗下物业管理子公司上市。,sina
25919,2019-04-15,0.791369, 云财经讯，保利地产(600048)4月15日晚间披露年报，公司2018年实现营业收入1945.14亿元，同比增长32.66%；净利润189.04亿元，同比增长20.92%。每股收益1.59元。公司拟每10股派发现金红利5元。,yuncaijing
26017,2019-04-15,0.668953, 云财经讯，保利地产将让旗下物业管理子公司上市。（IFR）,yuncaijing
60703,2019-04-15,0.634514,"保利地产将让旗下物业管理子公司上市。（路透旗下IFR）
",wallstreetcn
60562,2019-04-15,0.495317,"保利地产全年净利润189亿元人民币，全年净利润同比增加21％，市场预估192.6亿元人民币。保利地产全年营收1,945亿元人民币，市场预估1,880.6亿元人民币。
",wallstreetcn
31346,2019-04-15,0.860515,【保利地产：2018年净利189亿元 同比增21%】保利地产(600048)4月15日晚间披露年报，公司2018年实现营业收入1945.14亿元，同比增长32.66%；净利润189.04亿元，同比增长20.92%。每股收益1.59元。公司拟每10股派发现金红利5元。,eastmoney
60701,2019-04-15,0.581543,保利地产将让旗下物业管理子公司上市。（IFR）,wallstreetcn
31800,2019-04-16,0.884508,【上证50指数午后涨3% 兴业银行大涨7%】东方财富网16日讯，上证50指数午后涨3%，其中成分股，兴业银行大涨7%，建设银行、中国太保、保利地产、光大银行等个股均涨逾4%。,eastmoney
65190,2019-04-22,0.069496,"【公募基金连续三个季度超配地产，万科、保利等龙头股反被大举减持】：截至今年一季度末，公募基金持有地产股总市值达到785.99亿元，占其股票投资市值的比例为4.71%，超过股票市场标准行业配置比例0.13个百分点。万科A、保利地产等龙头股却被公募基金大举减持。（证券时报）
",wallstreetcn
51255,2019-04-22,0.0572045, 地产股开盘全线走低，荣盛发展、金地集团大跌4%，渝开发、粤泰股份、阳光城、保利地产等个股均逾3%，地产龙头万科A跌2.6%。消息上，中共中央政治局4月19日召开会议，会议要求：要坚持房子是用来住的、不是用来炒的定位。,sina
51335,2019-04-22,0.0193857,【公募基金连续三个季度超配地产，万科、保利等龙头股反被大举减持】梳理相关数据发现，公募基金在经过了连续12个季度对房地产行业的低配后，终于在最近三个季度实现了对房地产的超配：截至今年一季度末，公募基金持有地产股总市值达到785.99亿元，占其股票投资市值的比例为4.71%，超过股票市场标准行业配置比例0.13个百分点。万科A、保利地产等龙头股却被公募基金大举减持：目前仅有304只基金重仓持有万科A，合计持股数量较去年第四季度环比减少8250.43万股，该股下滑至基金第十大重仓股；保利地产的基金持股数量环比减少2.14亿股，该股也跌落至基金第十四大重仓股。（证券时报）,sina
28103,2019-04-22,0.0200191,云财经讯，梳理相关数据发现，公募基金在经过了连续12个季度对房地产行业的低配后，终于在最近三个季度实现了对房地产的超配：截至今年一季度末，公募基金持有地产股总市值达到785.99亿元，占其股票投资市值的比例为4.71%，超过股票市场标准行业配置比例0.13个百分点。万科A、保利地产等龙头股却被公募基金大举减持：目前仅有304只基金重仓持有万科A，合计持股数量较去年第四季度环比减少8250.43万股，该股下滑至基金第十大重仓股；保利地产的基金持股数量环比减少2.14亿股，该股也跌落至基金第十四大重仓股。（证券时报）,yuncaijing
33754,2019-04-22,0.111253,【公募基金连续三个季度超配地产 万科、保利等龙头股反被大举减持】公募基金在经过了连续12个季度对房地产行业的低配后，终于在最近三个季度实现了对房地产的超配：截至今年一季度末，公募基金持有地产股总市值达到785.99亿元，占其股票投资市值的比例为4.71%，超过股票市场标准行业配置比例0.13个百分点。万科A、保利地产等龙头股却被公募基金大举减持。（证券时报）,eastmoney
33697,2019-04-22,0.0198671,【地产股开盘全线走低】东方财富网22日讯，地产股开盘全线走低，荣盛发展、金地集团均大跌4%，渝开发、粤泰股份、阳光城、保利地产等个股均逾3%，地产龙头万科A跌2.6%。消息上，中共中央政治局4月19日召开会议，会议要求：要坚持房子是用来住的、不是用来炒的定位。,eastmoney
65192,2019-04-22,0.0193857,【公募基金连续三个季度超配地产，万科、保利等龙头股反被大举减持】梳理相关数据发现，公募基金在经过了连续12个季度对房地产行业的低配后，终于在最近三个季度实现了对房地产的超配：截至今年一季度末，公募基金持有地产股总市值达到785.99亿元，占其股票投资市值的比例为4.71%，超过股票市场标准行业配置比例0.13个百分点。万科A、保利地产等龙头股却被公募基金大举减持：目前仅有304只基金重仓持有万科A，合计持股数量较去年第四季度环比减少8250.43万股，该股下滑至基金第十大重仓股；保利地产的基金持股数量环比减少2.14亿股，该股也跌落至基金第十四大重仓股。（证券时报）,wallstreetcn
51838,2019-04-23,0.0194476,【“房住不炒”再被强调 房地产板块闻声重挫】4月22日，A股房地产板块遭遇重挫，中体产业、荣盛发展、首开股份跌幅超过7%，中南建设、华侨城A、万科A、金地集团、新城控股、保利地产、蓝光发展等20只个股的跌幅超过5%。整体来看，同花顺房地产指数下跌了2.41%。这一板块共计122只个股，4月22日收盘时总市值2.19万亿元，较上周五（4月19日）收盘时减少了945亿元。,sina
67714,2019-04-26,0.823532,保利地产：一季度实现营收225.8亿元，同比增长12.14%；实现净利润23.2亿元，同比增长22.51%。,wallstreetcn
53267,2019-04-26,0.557317,保利地产第一季度净利润23.2亿元人民币。,sina
53236,2019-04-26,0.823532,保利地产：一季度实现营收225.8亿元，同比增长12.14%；实现净利润23.2亿元，同比增长22.51%。,sina
29177,2019-04-26,0.649376,云财经讯，保利地产第一季度净利润23.2亿元人民币。,yuncaijing
36538,2019-05-02,0.100314,【就问牛不牛！这些A股龙头房企业绩诱人】A股房企整体业绩表现依然可圈可点，尤其是以万科、保利地产等为代表的A股龙头房企，一季度净利润同比增速相当可观。（中国证券网）,eastmoney
36959,2019-05-04,0.179393,【保利地产高速扩张背后：高价地难解套 “吃掉”利润逾20亿元】销售额、利润大幅提升，依旧难掩保利发展控股集团股份有限公司多宗高价地入市难的困境。（中国经营报）,eastmoney
36932,2019-05-04,0.0666194,【保利地产高速扩张背后：高价地难解套 吃掉利润逾20亿】销售额、利润大幅提升，依旧难掩保利发展控股集团股份有限公司(600048.SH，以下简称“保利地产”)多宗高价地入市难的困境。保利地产日前披露计提存货跌价准备情况，多个项目合计计提存货跌价准备金额达到23.4亿元，减少2018年归母净利润20.1亿元。,eastmoney
37679,2019-05-07,0.966105,【保利地产：4月签约金额374.23亿元 同比增15%】保利地产(600048)5月7日晚公告，4月，公司实现签约面积255万平方米，同比增长21%；实现签约金额374亿元，同比增长15%。2019年1-4月，公司实现签约面积955万平方米，同比增长19%；实现签约金额1471亿元，同比增长23%。（证券时报网）,eastmoney
57045,2019-05-07,0.980425,【保利地产：1-4月签约面积同比增长18.93%】保利地产公告，2019年4月，公司实现签约面积255.16万平方米，同比增长21.26%；实现签约金额374.23亿元，同比增长15.27%。2019年1-4月，公司实现签约面积955.20万平方米，同比增长18.93%；实现签约金额1470.83亿元，同比增长23.19%。,sina
72284,2019-05-07,0.980425,【保利地产：1-4月签约面积同比增长18.93%】保利地产公告，2019年4月，公司实现签约面积255.16万平方米，同比增长21.26%；实现签约金额374.23亿元，同比增长15.27%。2019年1-4月，公司实现签约面积955.20万平方米，同比增长18.93%；实现签约金额1470.83亿元，同比增长23.19%。,wallstreetcn
31180,2019-05-07,0.976822,云财经讯，保利地产公告，2019年4月，公司实现签约面积255.16万平方米，同比增长21.26%；实现签约金额374.23亿元，同比增长15.27%。2019年1-4月，公司实现签约面积955.20万平方米，同比增长18.93%；实现签约金额1470.83亿元，同比增长23.19%。,yuncaijing
65195,2019-05-23,0.965693,  【2019中国房地产上市公司百强揭晓 恒大蝉联榜首】根据《2019中国房地产上市公司测评研究报告》，中国恒大成功蝉联榜首，前三名与2018年一致，依旧为中国恒大、万科A和碧桂园。保利地产、中国海外发展和融创中国分别居于第四到第六位，龙湖集团、新城控股、华润置地和富力地产分列第七至十位。,sina
43594,2019-05-24,0.605887,【恒万碧蝉联上市房企三甲 头部聚集趋势不改】5月23日，2019中国房地产上市公司百强榜单揭晓。根据最新发布的《2019中国房地产上市公司测评研究报告》，中国恒大、万科A和碧桂园蝉联三甲位置，保利地产、中国海外发展、融创中国、龙湖集团、新城控股、华润置地和富力地产分列4至10位。（上海证券报）,eastmoney
44710,2019-05-28,0.195976,【近三成上市房企资产过千亿 行业持续向头部集聚】日前，中国房地产业协会和易居房地产研究院中国房地产测评中心联合发布《2019中国房地产上市公司测评研究报告》显示，中国恒大、万科A和碧桂园仍位列上市房企三甲。保利地产、中国海外发展和融创中国分居四到六位，龙湖集团、新城控股、华润置地和富力地产分列七至十位。（经济参考报）,eastmoney
16488,2019-05-30,0.783114,北京产权交易所今日预披露信息显示，保利地产全资子公司保利（北京）房地产开发有限公司拟出让其持有的北京保利融创房地产开发有限公司50.5%股权，预披露结束日期为6月27日（新京报）,10jqka
45313,2019-05-30,0.964896,【出让50.5%股权 保利北京欲退出与融创合作亦庄项目】北京产权交易所今日预披露，保利地产全资子公司保利(北京)房地产开发有限公司拟出让其持有的北京保利融创房地产开发有限公司50.5%股权，预披露结束日期为6月27日。据了解，2012年9月，保利北京与融创联手夺得北京亦庄地块，成立北京保利融创房地产开发有限公司。这项股权转让意味着，历时六年多后，保利北京准备要退出与融创合作的亦庄地块开发了。(新京报),eastmoney
37490,2019-05-30,0.968813,云财经讯，北京产权交易所今日预披露，保利地产全资子公司保利（北京）房地产开发有限公司拟出让其持有的北京保利融创房地产开发有限公司50.5%股权，预披露结束日期为6月27日。据了解，2012年9月，保利北京与融创联手夺得北京亦庄地块，成立北京保利融创房地产开发有限公司。这项股权转让意味着，历时六年多后，保利北京准备要退出与融创合作的亦庄地块开发了。（新京报）,yuncaijing
68654,2019-05-30,0.968345,【出让50.5%股权 保利北京欲退出与融创合作亦庄项目】北京产权交易所今日预披露，保利地产全资子公司保利（北京）房地产开发有限公司拟出让其持有的北京保利融创房地产开发有限公司50.5%股权，预披露结束日期为6月27日。据了解，2012年9月，保利北京与融创联手夺得北京亦庄地块，成立北京保利融创房地产开发有限公司。这项股权转让意味着，历时六年多后，保利北京准备要退出与融创合作的亦庄地块开发了。（新京报）,sina
69143,2019-05-31,0.350061,保利地产：接到广元市监察委员会通知，公司副总经理吴章焰被立案调查并采取留置措施。,sina
86408,2019-05-31,0.350061,"保利地产：接到广元市监察委员会通知，公司副总经理吴章焰被立案调查并采取留置措施。
",wallstreetcn
16657,2019-05-31,0.0879166,5月31日晚间公告集锦：三祥新材四天三板提示风险：未从事任何稀土矿产的开采和稀土生产的业务；保利地产：副总经理吴章焰被立案调查；金力永磁提示风险：公司不从事相关稀土分离冶炼业务。,10jqka
37722,2019-05-31,0.479158,云财经讯，保利地产：接到广元市监察委员会通知，公司副总经理吴章焰被立案调查并采取留置措施,yuncaijing
71648,2019-06-05,0.624737,房地产板块拉升，中交地产涨停，阳光城大涨6%，荣丰控股、保利地产、合肥城建涨逾3%，万科A涨2.87%。,sina
17978,2019-06-06,0.398861,晚间公告集锦：天风证券：母公司5月份净利润近3800万元；唐人神：5月份生猪销售收入环比减少15.4%；保利地产：前5月签约金额1890亿元，同比增约22%。,10jqka
72084,2019-06-06,0.974282,【 保利地产：前5月签约金额1890亿元 同比增约22% 】 保利地产(600048)6月6日晚间公告，2019年5月，公司实现签约面积271.64万平方米，同比增长21.92%；实现签约金额418.79亿元，同比增长17.24%。2019年1-5月，公司实现签约面积1226.84万平方米，同比增长19.58%；实现签约金额1889.61亿元，同比增21.82%。,sina
51704,2019-06-20,0.72479,【保利前五月加速拿地 超7000亿负债何时回归行业前三】对于中国房地产行业数千亿级别领跑的企业来说，所谓“兵马未动，粮草先行”，竞技的关键无疑是土地，土地，还是土地。由此，立志要重回房地产行业前三的保利地产(600048.SH)，在2019年以来展开了一场加速拿地战。然而，高溢价的拿地方式，一定程度上对于保利地产后续发展可谓“双刃剑”，毕竟对赌政策，看好后市的野心让国企性质的保利并不同于一般民企。（投资者网）,eastmoney
79328,2019-06-22,0.0608189,【前5月7房企销售规模破千亿 土地资源将集中于头部】6月下旬，各大房企陆续公布前5个月的销售“成绩单”。1-5月，标杆房企业绩亮眼，千亿销售额阵营有所增加，碧桂园、万科A、中国恒大、融创中国、保利地产等7家房企销售规模破千亿。监管趋严背景下，大型房企资金优势凸显，土地资源将进一步集中于头部企业。（中新经纬）,sina
21539,2019-06-22,0.273442,6月下旬，各大房企陆续公布前5个月的销售“成绩单”。1-5月，标杆房企业绩亮眼，千亿销售额阵营有所增加，碧桂园、万科A、中国恒大、融创中国、保利地产等7家房企销售规模破千亿。监管趋严背景下，大型房企资金优势凸显，土地资源将进一步集中于...,10jqka
