,date,sentiment_score,content,source
4756,2019-01-11,0.989273,【安徽首个5G数字园区诞生 最快3月将体验5G速度】今日，安徽启迪、中国联通安徽省分公司、华为技术有限公司在合肥启迪科技城签署了关于5G数字园区的三方合作协议，共同打造5G创新示范中心，标志着合肥启迪科技城成为安徽省首个5G数字园区。2018年12月25日，安徽省首个5G基站在合肥启迪科技城建设完成，预计最快于今年3月份，即可在启迪科技城体验到5G速度。,sina
3469,2019-01-11,0.989916,云财经讯，11日，安徽启迪、中国联通安徽省分公司、华为技术有限公司在合肥启迪科技城签署了关于5G数字园区的三方合作协议，共同打造5G创新示范中心，标志着合肥启迪科技城成为安徽省首个5G数字园区。2018年12月25日，安徽省首个5G基站在合肥启迪科技城建设完成，预计最快于今年3月份，即可在启迪科技城体验到5G速度。,yuncaijing
5103,2019-01-11,0.133068,中国联通A股涨逾3%，成交量放大。,sina
7267,2019-01-14,0.904386,【华为助力世界首例5G远程外科手术测试成功】近日，华为联合中国联通福建省分公司、福建医科大学孟超肝胆医院、苏州康多机器人有限公司在福建中国联通东南研究院实施世界首例5G远程外科手术动物实验。（C114）,wallstreetcn
4559,2019-01-14,0.83886,云财经讯，近日，华为联合中国联通福建省分公司、福建医科大学孟超肝胆医院、苏州康多机器人有限公司在福建中国联通东南研究院实施世界首例5G远程外科手术动物实验。（C114）,yuncaijing
1452,2019-01-15,0.915547,在北京召开的2019阿里云数字地产峰会上，阿里云与中国联通物联网公司宣布已经完全打通阿里云IoT智能生活开放平台，双方将共同发力智能单品市场。,10jqka
1437,2019-01-15,0.729638,据央视新闻报道，国资委数据显示，中国电信、中国联通、中国移动提前超额完成提速降费专项任务，全年累计让利超过1200亿元。,10jqka
4205,2019-01-15,0.945359,【联通宣布与阿里云实现全球级物联网平台对接】1月15日，在北京召开的2019阿里云数字地产峰会上，阿里云与中国联通物联网公司宣布已经完全打通阿里云IoT智能生活开放平台，双方将共同发力智能单品市场。（36氪）,eastmoney
7747,2019-01-15,0.795806,"小葱APP讯，中国联通官方微博今日发微博表示，据权威机构统计，中国联通区块链专利数达到113件，在全球范围内排名第六，在国内排名第二，在央企排名第一。中国联通研究院作为公司科技创新主力军和生力军，2015年起开始布局区块链相关理论技术、开源软件、分布式存储、共识算法、应用等研究。根据其微博提供的截图显示，阿里巴巴区块链专利数全球排名第二，腾讯全球排名第七。
",wallstreetcn
7826,2019-01-15,0.960364,【联通宣布与阿里云实现全球级物联网平台对接】1月15日，在北京召开的2019阿里云数字地产峰会上，阿里云与中国联通物联网公司宣布已经完全打通阿里云IoT智能生活开放平台，双方将共同发力智能单品市场。,wallstreetcn
6646,2019-01-15,0.960364,【联通宣布与阿里云实现全球级物联网平台对接】1月15日，在北京召开的2019阿里云数字地产峰会上，阿里云与中国联通物联网公司宣布已经完全打通阿里云IoT智能生活开放平台，双方将共同发力智能单品市场。,sina
4590,2019-01-16,0.0536531,【29家违规企业被纳入电信业务经营不良名单】据工业和信息化部消息，依据《电信条例》《电信业务经营许可管理办法》等法律法规，四川、吉林等通信管理局对扰乱市场秩序、违法违规经营电信业务的29家企业给予警告、罚款等行政处罚，并将其依法纳入电信业务经营不良名单，其中包括中国联通长春分公司等。,eastmoney
8467,2019-01-16,0.900395,"【广东联通打通全球首个5G手机电话】从中国联通获悉，近日，广东联通联合中兴通讯在深圳5G规模测试外场，打通了全球第一个基于3GPP最新协议版本的5G手机外场通话（FirstCall）, 率先在5G网络下畅享了微信、视频等精彩应用，对5G商用进程意义重大。（中证报）",wallstreetcn
7190,2019-01-16,0.900395,"【广东联通打通全球首个5G手机电话】从中国联通获悉，近日，广东联通联合中兴通讯在深圳5G规模测试外场，打通了全球第一个基于3GPP最新协议版本的5G手机外场通话（FirstCall）, 率先在5G网络下畅享了微信、视频等精彩应用，对5G商用进程意义重大。（中证报）",sina
8138,2019-01-17,0.733201,国资委：2018年中国电信、中国联通、中国移动提前超额完成提速降费专项任务，全年累计让利超过1200亿元。,sina
10516,2019-01-18,0.966857,"小葱APP讯，目前中国联通构建了基于区块链的生态环境监测可信数据平台。中国联通的区块链围绕开源软件超级账本Hyperledger、分布式数据存储、共识算法计算、P2P网络通信领域开展，目前已搭建了基于超级账本的研发试验基础环境，研究各种比特币技术应用进展，正在参与国家组织的有关数字货币研发工作组。（证券日报）
",wallstreetcn
10543,2019-01-18,0.608668,中国联通首个全省范围内5G实验网组网在贵州建设完成。,wallstreetcn
5182,2019-01-18,0.966586,【格力联通合推智能制造方案 董明珠称不看小米、奥克斯】1月18日下午，在制造重镇东莞，格力电器与深圳市建筑设计研究总院、中国联通、民生银行签约，联手推出智能制造全产业链解决方案，加快智能装备业务的发展。,eastmoney
5194,2019-01-18,0.279536,【中国联通：2018年4G用户净增4504.9万户 累计达2.20亿户】中国联通(600050)1月18日晚间公告，公司4G用户2018年累计净增4504.9万户，2017年全年净增7032.5万户，增长数量同比下滑约36%；公司4G用户累计数量约为2.20亿户。,eastmoney
5300,2019-01-18,0.8587,【世界首例5G远程外科手术 成功切除小猪肝小叶】近日，华为联合中国联通福建分公司、福建医科大学孟超肝胆医院、北京301医院、苏州康多机器人有限公司等成功实施了5G远程外科手术动物实验。据悉这是世界首例5G远程外科手术。(环球网),eastmoney
8754,2019-01-18,0.875882,【世界首例5G远程外科手术 成功切除小猪肝小叶】近日，华为联合中国联通福建分公司、福建医科大学孟超肝胆医院、北京301医院、苏州康多机器人有限公司等成功实施了5G远程外科手术动物实验。据悉这是世界首例5G远程外科手术。（环球网）,sina
8597,2019-01-18,0.532039,  中国联通：4G用户2018年全年累计净增数达到4504.9万户。 固网宽带用户2018年全年累计净增数达到434.1万户 本地电话用户2018年全年累计净减少409.8万户。,sina
5170,2019-01-18,0.966586,【格力联通合推智能制造方案 董明珠称不看小米、奥克斯】1月18日下午，在制造重镇东莞，格力电器与深圳市建筑设计研究总院、中国联通、民生银行签约，联手推出智能制造全产业链解决方案，加快智能装备业务的发展。,eastmoney
9974,2019-01-22,0.888689,【三大运营商交2018成绩单：联通又遭遇宽带用户“年底逃跑”】截至去年底，三大运营商的合计国内移动电话出账用户数达到15.4亿的新高，4G用户为11.7亿，宽带用户超过3.8亿。回顾2018年宽带用户增速，中国移动2018年每月平均净增宽带用户367万户；中国电信每月平均净增宽带用户97.6万户；中国联通2018年每月平均净增宽带用户36.2万户。中国移动增速最快，中国联通的业务则稍平淡。仅从上市公司披露数据来看，中国移动宽带业务用户规模已超越了中国电信。不过，中国电信上市公司所统计数据并没有包含其母公司的部分数据。（每日经济新闻）,sina
2270,2019-01-23,0.448378,港股恒指收盘持平，5G概念股再获热炒，中国联通H股涨逾4%领涨蓝筹；创始人回家消息提振雨润食品股价飙升近29%；佳源国际控股继续暂停交易。,10jqka
11340,2019-01-24,0.966438,【中国联通完成我国首次极寒环境下5G网络4K传输测试】近日，中国联通携手中央广播电视总台在吉林长春（一汽）春晚分会场，实现了我国首次极寒环境下的5G网络4K传输测试。这是中国联通和央视在推动5G新媒体平台建设、加快5G媒体应用规模试验和应用示范方面的又一次重大突破。,sina
11408,2019-01-24,0.955265,【 京东物流与中国联通网研院达成合作 探讨5G在物流领域的落地应用  】 1月24日，京东物流与中国联通网研院签署业务合作意向书。双方将充分发挥各自优势，在关键技术开发、智能物流示范园区等多个领域开展全方位深度合作，共同探讨5G这一前瞻技术在物流领域的落地应用。,sina
13945,2019-01-24,0.966438,【中国联通完成我国首次极寒环境下5G网络4K传输测试】近日，中国联通携手中央广播电视总台在吉林长春（一汽）春晚分会场，实现了我国首次极寒环境下的5G网络4K传输测试。这是中国联通和央视在推动5G新媒体平台建设、加快5G媒体应用规模试验和应用示范方面的又一次重大突破。  ,wallstreetcn
2375,2019-01-24,0.887821,1月24日，京东物流与中国联通网研院签署业务合作意向书。双方将充分发挥各自优势，在关键技术开发、智能物流示范园区等多个领域开展全方位深度合作，共同探讨5G这一前瞻技术在物流领域的落地应用。,10jqka
8037,2019-01-28,0.922778,【央视、联通、华为5G网络VR实时制作传输启动仪式】今天下午2点，中央广播电视总台联合中国联通、华为公司在吉林长春启动5G网络VR实时制作传输测试，央视新闻全程直播启动仪式。（央视）,eastmoney
16432,2019-01-28,0.557964,1月28日，中央广播电视总台联合中国联通、华为公司在吉林长春启动5G网络VR实时制作传输测试。,wallstreetcn
13122,2019-01-28,0.968374,【我国首次成功实现5G网络VR实时制作传输测试】1月28日，中央广播电视总台联合中国联通、华为公司在吉林长春启动5G网络VR实时制作传输测试，为春晚长春分会场5G直播应用提供技术验证与准备。这是我国首个5G媒体应用实验室继1月13日成功实现5G网络4K电视传输后，进行的又一次重要测试，是中央广播电视总台在推动5G新媒体平台建设方面的重大突破。（央视新闻）,sina
13275,2019-01-28,0.928749,【央视、联通、华为5G网络VR实时制作传输启动仪式】今天下午2点，中央广播电视总台联合中国联通、华为公司在吉林长春启动5G网络VR实时制作传输测试，央视新闻全程直播启动仪式。,sina
13843,2019-01-29,0.990947,【中国联通：全国首个5G无线家庭宽带示范小区落地成都】中国联通消息，1月25日，四川联通和成都市成华区人民政府召开5G智能社区发布会，宣布全国首个5G无线家庭宽带示范小区亮相。双方将利用中国联通云计算、物联网、大数据GIS等先进技术优势，突出贴心服务、沟通互动、发展治理三大主题，基于一站式聚合服务平台，打造宜居、宜业、宜人的智慧社区。,sina
13955,2019-01-29,0.975128,【我国首次成功实现5G网络VR实时制作传输测试】中央广播电视总台联合中国联通、华为公司昨天（28日）在吉林长春启动5G网络VR实时制作传输测试，为2019年春晚长春分会场5G直播应用提供技术验证与准备。这是我国首个5G媒体应用实验室继1月13号成功实现5G网络4K超高清电视传输后，进行的又一次重要测试，是中央广播电视总台在推动5G新媒体平台建设方面的重大突破。（央广）,sina
18289,2019-01-30,0.983456,【央视春晚将提供VR视觉体验】中央广播电视总台联合中国联通、华为公司前天在吉林长春启动5G网络VR实时制作传输测试，为春晚长春分会场5G直播应用提供技术验证与准备。接下来的央视春晚预热节目中，中央广播电视总台将实现VR全景互动，带给观众全新的视觉感受。同时，还将制作一批春晚VR短视频在新媒体平台投放，为观众提供沉浸式的春晚观看体验。（北京日报）,wallstreetcn
6029,2019-01-30,0.983477,云财经讯，中央广播电视总台联合中国联通、华为公司前天在吉林长春启动5G网络VR实时制作传输测试，为春晚长春分会场5G直播应用提供技术验证与准备。接下来的央视春晚预热节目中，中央广播电视总台将实现VR全景互动，带给观众全新的视觉感受。同时，还将制作一批春晚VR短视频在新媒体平台投放，为观众提供沉浸式的春晚观看体验。（北京日报）,yuncaijing
8983,2019-01-31,0.9743,【未来应用场景广泛 5G技术孕育新时代投资机会(附股)】5G依托于高速率大宽带，低延时高可靠，低功耗大连接的特性，未来将有广阔的应用领域，预计在电力，农业，交通，制造等领域均有重要作用。投资建议：我们持续坚定看好5G的投资机会。建议关注烽火通信、中国联通，以及光交换及光器件：新易盛、光迅科技、博创科技、中际旭创等。,eastmoney
6677,2019-02-02,0.994155,"云财经讯，2月2日，工业和信息化部副部长陈肇雄赴中国联通调研，听取了联通公司关于5G发展规划的汇报，参观了移动环境下的5G业务演示。
陈肇雄充分肯定了中国联通在5G试验网络部署方面取得的成效。他指出，5G作为新一代网络基础设施，是经济社会数字化转型的关键支撑。加快5G商用步伐，是党中央作出的重大决策部署。希望中国联通充分发挥运营企业5G商用主体作用，大力开展5G规模试验、业务应用示范，建设高质量5G精品网络，推动5G与工业、医疗、交通等垂直行业的融合应用，助力传统产业数字化转型，培育发展新兴业态，为经济高质量发展提供有力支撑。",yuncaijing
20003,2019-02-02,0.993559,"【工信部赴中国联通调研5G】2月2日，工业和信息化部副部长陈肇雄赴中国联通调研，听取了联通公司关于5G发展规划的汇报，参观了移动环境下的5G业务演示。
陈肇雄充分肯定了中国联通在5G试验网络部署方面取得的成效。他指出，5G作为新一代网络基础设施，是经济社会数字化转型的关键支撑。加快5G商用步伐，是党中央作出的重大决策部署。希望中国联通充分发挥运营企业5G商用主体作用，大力开展5G规模试验、业务应用示范，建设高质量5G精品网络，推动5G与工业、医疗、交通等垂直行业的融合应用，助力传统产业数字化转型，培育发展新兴业态，为经济高质量发展提供有力支撑。",wallstreetcn
16006,2019-02-02,0.993585,【工信部赴中国联通调研5G商用试验情况】2月2日，工业和信息化部副部长陈肇雄赴中国联通调研，听取了联通公司关于5G发展规划的汇报，参观了移动环境下的5G业务演示。陈肇雄充分肯定了中国联通在5G试验网络部署方面取得的成效。他指出，5G作为新一代网络基础设施，是经济社会数字化转型的关键支撑。加快5G商用步伐，是党中央作出的重大决策部署。希望中国联通充分发挥运营企业5G商用主体作用，大力开展5G规模试验、业务应用示范，建设高质量5G精品网络，推动5G与工业、医疗、交通等垂直行业的融合应用，助力传统产业数字化转型，培育发展新兴业态，为经济高质量发展提供有力支撑。,sina
9729,2019-02-02,0.846574,【工信部赴中国联通调研5G商用试验情况】2月2日，工信部副部长陈肇雄赴中国联通调研，听取了联通公司关于5G发展规划的汇报，参观了移动环境下的5G业务演示。（证券时报）,eastmoney
20286,2019-02-03,0.973004,"小葱APP讯，近日，IPRdaily联合incoPat创新指数研究中心发布“2018年全球区块链发明专利排行榜（TOP20）”，数据范围为截止2018年1月1日至2018年12月31日，全球公开的区块链技术发明专利申请数量。入围前二十名企业中，中国占据15席。入榜前十名企业前十分别是nChain（230）、阿里巴巴（206）、IBM（133）、MasterCard（107）、中国联通（106）、元征科技（104）、中国平安（84）、腾讯（81）、奇虎360（64）和复杂美（62）。（搜狐科技）
",wallstreetcn
21174,2019-02-07,0.974439,【中国联通助力打造5G智慧码头验证方案】从中国联通获悉，近日，中国联通联合爱立信、青岛港和振华重工在青岛港新前湾自动化码头成功实现了基于5G连接的自动岸桥吊车控制操作、抓取和运输集装箱，在5G网络应用于智慧码头领域再上一个台阶。（新华社）,wallstreetcn
17024,2019-02-07,0.974439,【中国联通助力打造5G智慧码头验证方案】从中国联通获悉，近日，中国联通联合爱立信、青岛港和振华重工在青岛港新前湾自动化码头成功实现了基于5G连接的自动岸桥吊车控制操作、抓取和运输集装箱，在5G网络应用于智慧码头领域再上一个台阶。（新华社）,sina
7030,2019-02-07,0.976148,云财经讯，从中国联通获悉，近日，中国联通联合爱立信、青岛港和振华重工在青岛港新前湾自动化码头成功实现了基于5G连接的自动岸桥吊车控制操作、抓取和运输集装箱，在5G网络应用于智慧码头领域再上一个台阶。（新华社）,yuncaijing
21459,2019-02-08,0.917608,【中国联通推出“互联网+”扶贫模式】从中国联通获悉，近期中国联通在线上建立统一“中国联通扶贫旗舰店”，全方位助力贫困县商品在线销售；并在混改合作伙伴电商平台推出专栏面向公司内部和社会公众开展线上消费扶贫。中国联通发挥混改优势创新打造“互联网+”扶贫模式，开创了央企消费扶贫新路径。（新华社）,wallstreetcn
17255,2019-02-08,0.917608,【中国联通推出“互联网+”扶贫模式】从中国联通获悉，近期中国联通在线上建立统一“中国联通扶贫旗舰店”，全方位助力贫困县商品在线销售；并在混改合作伙伴电商平台推出专栏面向公司内部和社会公众开展线上消费扶贫。中国联通发挥混改优势创新打造“互联网+”扶贫模式，开创了央企消费扶贫新路径。（新华社）,sina
18618,2019-02-13,0.968331,【百亿订单落地：联通大手笔扩容4G网，将新增41.6万基站】备受业界关注的中国联通无线网络整合项目招标已于日前结束。本次招标涉及L900及L1800基站41.6万站、L1800整合、软件功能等，是5G商用之前国内最大规模的招标项目。本项目2019年1月18日发布公告，2月12日进行了开标，2月13日完成评标。如此的高效，也从侧面反映出了联通急切希望改善4G网络的愿望。经评标委员会评审，本次招标共有四家系统设备厂商入围，其中：华为技术有限公司获得第一名。（C114通信网）,sina
18979,2019-02-13,0.699633,科技巨头集体爆发，京东方A、大族激光强势涨停，中兴通讯、中国联通、紫光国微、工业富联等纷纷涨逾5%。,sina
18997,2019-02-13,0.145786,中国联通A股大涨逾6%，成交额近6亿元。,sina
11697,2019-02-13,0.971722,【百亿订单落地：联通疯狂扩容4G网络 将新增41.6万基站】备受业界关注的中国联通无线网络整合项目招标已于日前结束。本次招标涉及L900及L1800基站41.6万站、L1800整合、软件功能等，是5G商用之前国内最大规模的招标项目。据悉，本项目2019年1月18日发布公告，2月12日进行了开标，2月13日完成评标。经评标委员会评审，本次招标共有四家系统设备厂商入围，其中：华为技术有限公司获得第一名，投标报价约为281亿元；中兴通讯股份有限公司获得第二名，投标报价约为267.5亿元。（C114通信网）,eastmoney
11788,2019-02-13,0.287887,【复盘：券商电子领涨两市 狙击86只涨停股（名单）】周三沪深两市共86只个股涨停，券商、电子领涨两市。个股方面，银星能源、*ST毅达等个股涨停；中兴通讯、中国联通等个股涨超7%。,eastmoney
18992,2019-02-13,0.726051,快讯：中国联通放量大涨近7％，成交金额近8亿元，成交额超昨日全天成交额，昨天为4.08亿元。,sina
23004,2019-02-13,0.968331,"【百亿订单落地：联通大手笔扩容4G网，将新增41.6万基站】备受业界关注的中国联通无线网络整合项目招标已于日前结束。本次招标涉及L900及L1800基站41.6万站、L1800整合、软件功能等，是5G商用之前国内最大规模的招标项目。本项目2019年1月18日发布公告，2月12日进行了开标，2月13日完成评标。如此的高效，也从侧面反映出了联通急切希望改善4G网络的愿望。经评标委员会评审，本次招标共有四家系统设备厂商入围，其中：华为技术有限公司获得第一名。（C114通信网）
",wallstreetcn
11914,2019-02-13,0.677664,【科技巨头集体爆发 京东方A领衔涨停】东方财富网13日讯，科技股早盘走势强劲，资金疯狂涌入，板块内的中军大票纷纷大涨。其中，京东方A、大族激光强势涨停，中兴通讯、中国联通、紫光国微、工业富联等纷纷涨逾5%。,eastmoney
7997,2019-02-13,0.765404,云财经讯，中国联通放量大涨7%，成交额超6亿,yuncaijing
7791,2019-02-13,0.973453,云财经讯，备受业界关注的中国联通无线网络整合项目招标已于日前结束。本次招标涉及L900及L1800基站41.6万站、L1800整合、软件功能等，是5G商用之前国内最大规模的招标项目。据悉，本项目2019年1月18日发布公告，2月12日进行了开标，2月13日完成评标。经评标委员会评审，本次招标共有四家系统设备厂商入围，其中：华为技术有限公司获得第一名，投标报价约为281亿元；中兴通讯股份有限公司获得第二名，投标报价约为267.5亿元。（C114）,yuncaijing
3746,2019-02-13,0.485074,5G板块集体拉升，奥维通信、力源信息纷纷涨停，中国联通、中兴通讯等大幅跟涨。,10jqka
3745,2019-02-13,0.422901,创业板指一举站上半年线，科技股持续大涨，京东方A涨停，中兴通讯逼近涨停，中国联通、紫光股份等大幅拉升。…,10jqka
3743,2019-02-13,0.802561,科技股早盘走势强劲，资金疯狂涌入，板块内的中军大票纷纷大涨。其中，京东方A、大族激光、工业富联强势涨停，中兴通讯、中国联通、紫光国微等纷纷涨逾5%。,10jqka
11927,2019-02-13,0.0312204,【中国联通A股大涨逾6%】东方财富网13日讯，中国联通A股大涨逾6%，成交额近6亿元。,eastmoney
3731,2019-02-13,0.584621,三大股指早盘震荡拉升，创业板指依旧较为强势。盘中题材股、大盘股集体活跃，以京东方A为代表，中兴通讯、工业富联、中国联通、三六零等大盘股集体大涨，柔性屏板块再度上演涨停潮。截至午间收盘，个股呈普涨态势。,10jqka
3742,2019-02-13,0.540085,科技巨头集体高潮，京东方A、三六零、工业富联强势涨停，中兴通讯、中国联通、大族激光等涨逾5%。,10jqka
23405,2019-02-13,0.735877,中国联通放量大涨7%，成交额超6亿。,wallstreetcn
23403,2019-02-13,0.195918,"A股科技股持续大涨，中兴通讯涨超9%，紫光股份涨超7%，中国联通涨超6%。稍早京东方A已连续第二日涨停。
",wallstreetcn
23251,2019-02-13,0.281203,"【2月13日资金流向】主力净流入行业板块前五：通信设备、券商、有色、银行、计算机
主力净流入概念板块前五：5G、物联网、芯片、人工智能、大数据
主力净流入个股前十：中兴通讯、工业富联、京东方A、东旭光电、中国平安、TCL集团、四维图新、中国银河、中国联通",wallstreetcn
23007,2019-02-13,0.966922,【百亿订单落地：中国联通完成无线网络整合项目招标】2月13日，备受业界关注的中国联通无线网络整合项目招标已于日前结束。经评标委员会评审，本次招标共有四家系统设备厂商入围，其中：华为技术有限公司获得第一名，投标报价约为281亿元；中兴通讯股份有限公司获得第二名，投标报价约为267.5亿元。（C114）,wallstreetcn
11920,2019-02-13,0.0368496,【A股科技股持续大涨】东方财富网13日讯，A股科技股持续大涨，中兴通讯涨超9%，紫光股份涨超7%，中国联通涨超6%。稍早京东方A已连续第二日涨停。,eastmoney
12129,2019-02-14,0.66276,【中国联通5G智能手机测试机首批正式交付】中国联通官方微博2月14日表示，中国联通5G智能手机测试机首批正式交付。（证券时报网）,eastmoney
12111,2019-02-14,0.74113,【中国联通4G基站将扩容逾四成 华为、中兴等4厂商分食三百亿元大单】2月13日，中国联通公示无线网络整合项目中标候选人，华为、中兴通讯(000063)、爱立信、诺基亚分别位列第一到第四名。据了解，中国联通1月18日发布此次采购公告，2月12日进行了开标，2月13日完成评标，前后历时不足一个月，进展迅速。（证券时报）,eastmoney
8147,2019-02-14,0.651922,云财经讯，中国联通官方微博表示，中国联通5G智能手机测试机首批正式交付,yuncaijing
8190,2019-02-14,0.955327,云财经讯，近日，中国联通无线网络整合项目中标结果出炉，项目总预算约348亿元，采购L900及L1800基站41.6万站的。联通的新春大蛋糕，最终由四大设备商华为、中兴、爱立信、诺基亚瓜分，从报价来看诺基亚报价最高约346.8亿元、爱立信报价最低约209.6亿元。,yuncaijing
8355,2019-02-14,0.792139, 云财经讯，华为、中兴、爱立信和诺基亚中标中国联通无线网络整合项目。,yuncaijing
12345,2019-02-14,0.70269,【Jefferies:上调中兴通讯目标价 2019年利润可能会超过预期】投行Jefferies:上调中兴通讯目标价，由18.86港元上调至20.72港元；公司成为了中国联通4G基站招标的第二大赢家后，其利润可能会超出预期。,eastmoney
19317,2019-02-14,0.53453,中国联通官微称，5G智能手机测试机首批正式交付。,sina
23896,2019-02-14,0.556108,中国联通官方微博表示，中国联通5G智能手机测试机首批正式交付。,wallstreetcn
23897,2019-02-14,0.53453,"中国联通官微称，5G智能手机测试机首批正式交付。
",wallstreetcn
23955,2019-02-14,0.955298,【中国联通百亿规模4G基站集采大单落地】近日，中国联通无线网络整合项目中标结果出炉，项目总预算约348亿元，采购L900及L1800基站41.6万站的。联通的新春大蛋糕，最终由四大设备商华为、中兴、爱立信、诺基亚瓜分，从报价来看诺基亚报价最高约346.8亿元、爱立信报价最低约209.6亿元。,wallstreetcn
19666,2019-02-14,0.746244,华为、中兴、爱立信和诺基亚中标中国联通无线网络整合项目。,sina
19653,2019-02-14,0.732079,【Jefferies：上调中兴通讯目标价 2019年利润可能会超过预期】投行Jefferies：上调中兴通讯目标价，由18.86港元上调至20.72港元；公司成为了中国联通4G基站招标的第二大赢家后，其利润可能会超出预期。,sina
19379,2019-02-14,0.955298,【中国联通百亿规模4G基站集采大单落地】近日，中国联通无线网络整合项目中标结果出炉，项目总预算约348亿元，采购L900及L1800基站41.6万站的。联通的新春大蛋糕，最终由四大设备商华为、中兴、爱立信、诺基亚瓜分，从报价来看诺基亚报价最高约346.8亿元、爱立信报价最低约209.6亿元。,sina
19987,2019-02-15,0.94864,【中国联通在雄安新区开通业界最大规模4G/5G无线虚拟化试验网】中国联通在雄安新区开通了业界最大规模的4G/5G无线虚拟化外场试验网络。试验网采用诺基亚无线云化接入方案，建设10个4G和40个5G基站，4G/5G基站均采用CU/DU分离架构，实现了4G/5G基站软件功能在通用硬件资源池上的共平台云化部署。该试验网由中国联通网研院、河北分公司携手诺基亚共同打造。（新京报）,sina
